_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,addr1,addr2,city,state,zipcode,hours,phone,type
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,1,nc-food-pantry-full,nc-food-pantry-full,1,http://content.foodbankcenc.org/about/zipcounty.asp,A Sound of Abundance Ministries,101 East Granville Street,,Dunn,NC,28334,Hours: 12 and 3rd Saturdays 12p-2p 4th Sundays 12p-2p,Phone: 910.476.1306,Type: SOUP KITCH
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,2,nc-food-pantry-full,nc-food-pantry-full,2,http://content.foodbankcenc.org/about/zipcounty.asp,A Touch From Above Faith Center,654 Main St,,Wilson Mills,NC,27593,Hours: Every Monday 6pm-7pm Tuesday is emergency calls,Phone: 919-938-0073 ext.2,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,3,nc-food-pantry-full,nc-food-pantry-full,3,http://content.foodbankcenc.org/about/zipcounty.asp,Abundant Grace Church,221 Durham Lake Road,,Dudley,NC,28333,Hours: 1st Saturday of each month 11am-1pm,Phone: 919-920-8001,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,4,nc-food-pantry-full,nc-food-pantry-full,4,http://content.foodbankcenc.org/about/zipcounty.asp,Abundant Life Christian Center,506 Bell Fork Road,,Jacksonville,NC,28540,Hours: 1st and 3rd Th 2p-4p,Phone: 910-526-1016,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,5,nc-food-pantry-full,nc-food-pantry-full,5,http://content.foodbankcenc.org/about/zipcounty.asp,Abundant Life Church,2965 Forest Hills Road,,Wilson,NC,27893,Hours: Monday through Thursday 10:30a-2p on call Fri-Sun,Phone: 252-293-0615,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,6,nc-food-pantry-full,nc-food-pantry-full,6,http://content.foodbankcenc.org/about/zipcounty.asp,Abundant Life Ministries,500 Peachtree Street,,Rocky Mount,NC,27801,Hours: 3rd Saturday 9-11am. Tues and Thur Emergency 11am-1:30pm,Phone: (252) 557-1333 ext. 4,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,7,nc-food-pantry-full,nc-food-pantry-full,7,http://content.foodbankcenc.org/about/zipcounty.asp,Abundant Life Miracle Center,1303 Beaufort Street,,New Bern,NC,28560,Hours: as needed and emergencies,Phone: 252-633-3376,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,8,nc-food-pantry-full,nc-food-pantry-full,8,http://content.foodbankcenc.org/about/zipcounty.asp,ACTS/Henderson,305 S. Chestnut St.,,Henderson,NC,27536,Hours: Mon-Fri 8:30-11:30am for food assistance; must have referall from DSS or affiliate,Phone: 252-492-8231,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,9,nc-food-pantry-full,nc-food-pantry-full,9,http://content.foodbankcenc.org/about/zipcounty.asp,Agape Buchanan Featherstone Memorial Tabernacle,1505 Woodlawn St,,Laurinburg,NC,28352,Hours: 4th Friday and 4th Saturday morning 9 to 12,Phone: 301-982-0945,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,10,nc-food-pantry-full,nc-food-pantry-full,10,http://content.foodbankcenc.org/about/zipcounty.asp,Agape Community Cultural ActivitySpirit & Truth Worship,1002 Evans Street,,Greenville,NC,27834,Hours: 1st and 3rd Thursday from 6:30p-8p,Phone: 252-367-9081,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,11,nc-food-pantry-full,nc-food-pantry-full,11,http://content.foodbankcenc.org/about/zipcounty.asp,All Nations Deliverance Church,101 East Pinewood Street,,Roseboro,NC,28382,Hours: 2nd and 4th Saturdays of the month,Phone: 919-394-6513,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,12,nc-food-pantry-full,nc-food-pantry-full,12,http://content.foodbankcenc.org/about/zipcounty.asp,Alliance of AIDS Services Carolina/Wake,1812 Tillery Place Ste 105,,Raleigh,NC,27604,Hours: Thursday 12:30 p.m.- 4:30 p.m.,Phone: 919-856-5365,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,13,nc-food-pantry-full,nc-food-pantry-full,13,http://content.foodbankcenc.org/about/zipcounty.asp,Alpha and Omega Church,410 E. Washington St.,,Kinston,NC,28501,Hours: 3rd and 4th Mon 9a.m.-5p.m.,Phone: 252-523-0355,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,14,nc-food-pantry-full,nc-food-pantry-full,14,http://content.foodbankcenc.org/about/zipcounty.asp,Alston Chapel United Holy Ch,2012 Alston Chapel Road,,Pittsboro,NC,27312,Hours: MWF 10:30-11am; 3rd Wednesday @ 1pm (TEFAP); Saturdays at 10:30am for produce & bakery,Phone: 919-542-4111 church,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,15,nc-food-pantry-full,nc-food-pantry-full,15,http://content.foodbankcenc.org/about/zipcounty.asp,Ambassadors for Christ Called,4513 Franklin Ave,,Wilmington,NC,28403,Hours: 1st & 3rd Thursday 5-7pm,Phone: 910-228-8667,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,16,nc-food-pantry-full,nc-food-pantry-full,16,http://content.foodbankcenc.org/about/zipcounty.asp,An Open Door CDC,118 Booker St,,Pikeville,NC,27863,Hours: 2nd and 4th Wednesday 12-1pm,Phone: 919-242-5777 (Church),Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,17,nc-food-pantry-full,nc-food-pantry-full,17,http://content.foodbankcenc.org/about/zipcounty.asp,Angier Area Food Pantry,61 W Williams St,,Angier,NC,27501,Hours: Tues & Thurs 10:30 a.m. to 12 p.m. not open on 5th Tuesday,Phone: 919.639.4683,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,18,nc-food-pantry-full,nc-food-pantry-full,18,http://content.foodbankcenc.org/about/zipcounty.asp,Antioch United Holy Church,2659 Railroad Street,,Bell Arthur,NC,27811,Hours: 2nd & 4th Sat/8a-10a,Phone: 252-830-4053,Type: FOODPANTRY
webpage/url:http://content.foodbankcenc.org/about/zipcounty.asp|,19,nc-food-pantry-full,nc-food-pantry-full,19,http://content.foodbankcenc.org/about/zipcounty.asp,Apostolic Deliverance Church of Christ,422 E. North Street,,Kinston,NC,28501,Hours: Every 1st Sat from 9a-11a,Phone: 252-527-5395,Type: FOODPANTRY
