id,postal_code,facility_name,url,phone,contact,begin_date,end_date,begin_time,end_time,recurrence_days,hours,cost,notes,latitude,longitude,street1,street2,city,state
1,27601,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=4056, 919-834-3336,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",MON:08:00 AM - 06:00 PM; TUE:08:00 AM - 06:00 PM; WED:08:00 AM - 06:00 PM; THU:08:00 AM - 06:00 PM; FRI:08:00 AM - 06:00 PM; SAT:09:00 AM - 01:00 PM; SUN:Closed,Insurance Accepted,Age Requirements Vary By Vaccinations.,35.778069,-78.639458,200 Fayetteville St,,Raleigh,NC
2,,Target- Raleigh,, 919-786-2534,,08/07/2014 12:00:00 AM,04/30/2015 12:00:00 AM,,,,,,,35.809269,-78.648903,"4191 The Circle At North Hills St, Raleigh, NC 27609",,Raleigh,NC
3,,Josefs Pharmacy,, 919-212-2555,,07/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM,,,,,,,35.779179,-78.606293,"2100 New Bern Ave, Raleigh, NC 27610",,Raleigh,NC
4,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=7018, 919-231-8511,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", MON:08:00 AM - 10:00 PM; TUE:08:00 AM - 10:00 PM; WED:08:00 AM - 10:00 PM; THU:08:00 AM - 10:00 PM; FRI:08:00 AM - 10:00 PM; SAT:08:00 AM - 06:00 PM; SUN:10:00 AM - 06:00 PM,,,35.787422,-78.588493,"3051 New Bern Avenue, Raleigh, NC 27610",,Raleigh,NC
5,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-231-5074,,08/26/2014 12:00:00 AM,04/15/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Sunday 10:00 (AM)- 06:00 (PM), Monday 08:00 (AM)- 10:00 (PM), Tuesday 08:00 (AM)- 10:00 (PM), Wednesday 08:00 (AM)- 10:00 (PM), Thursday 08:00 (AM)- 10:00 (PM), Friday 08:00 (AM)- 10:00 (PM), Saturday 09:00 (AM)- 06:00 (PM)",,Flu vaccines available for ages 7 years and older. Prescription required for shingles vaccine if ages 50-59 years.,35.787964,-78.587662,"3101 New Bern Ave, Raleigh, NC 27610-1216",,Raleigh,NC
6,,Passport Health Raleigh,http://www.passporthealthusa.com/triangle, 919-781-0053,,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM,,,, Call today to schedule an appointment,,,35.820004,-78.602989,"3000 Highwoods Blvd, Suite 140, Raleigh, NC 27604",,Raleigh,NC
7,,Passport Health Raleigh,http://www.passporthealthusa.com/triangle, 919-781-0053,,09/02/2014 12:00:00 AM,09/02/2015 12:00:00 AM,,,, Call today to schedule an appointment,,Vaccine cost varies by location.  Please call for pricing inquiries and whether insurance is accepted.  Receipt provided upon request for submission to insurance company.  Passport Health is not a Medicare/Medicaid provider.  Minimum 6 months of age - Children under 18 must be accompanied by an adult.,35.820152,-78.602875,"3000 Highwoods Blvd Suite 140, Raleigh, NC 27604",,Raleigh,NC
8,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=2714, 919-855-5694,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", MON:08:00 AM - 10:00 PM; TUE:08:00 AM - 10:00 PM; WED:08:00 AM - 10:00 PM; THU:08:00 AM - 10:00 PM; FRI:08:00 AM - 10:00 PM; SAT:09:00 AM - 06:00 PM; SUN:10:00 AM - 06:00 PM,,,35.831066,-78.618233,"3500 Wake Forest Road, Raleigh, NC 27609",,Raleigh,NC
9,,Kroger Pharmacy,http://www.kroger.com/pharmacy, 919-661-9988,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", Su 12:00 PM - 6:00 PM; M 8:00 AM - 9:00 PM; Tu 8:00 AM - 9:00 PM; W 8:00 AM - 9:00 PM; Th 8:00 AM - 9:00 PM; F 8:00 AM - 9:00 PM; Sa 9:00 AM - 6:00 PM,,,35.716213,-78.635818,"2680 Timber Dr, Garner, NC 27529",,Garner,NC
10,,Kmart Pharmacy 4450,http://www.kmart.com/pharmacy, 919-851-5247,,08/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,,,,,35.786156,-78.701393,"4500 Western Blvd, Raleigh, NC 27606",,Raleigh,NC
11,,Target- Garner,, 919-772-9120,,08/07/2014 12:00:00 AM,04/30/2015 12:00:00 AM,,,,,,,35.715618,-78.638985,"2700 Timber Dr, Garner, NC 27529",,Garner,NC
12,,Walmart  Supercenter #1372,http://www.walmart.comhttp://www.walmart.com, 919-772-2640,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Monday- Friday: 09:00 - 21:00, Saturday: 09:00 - 19:00, Sunday: 10:00 - 18:00",,,35.719139,-78.659431,"4500 Fayetteville Rd, Raleigh, NC 27603",,Raleigh,NC
13,,Walmart  Supercenter #2058,http://www.walmart.comhttp://www.walmart.com, 919-790-9856,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Monday- Friday: 09:00 - 21:00, Saturday: 09:00 - 19:00, Sunday: 10:00 - 18:00",,,35.837234,-78.607536,"1725 New Hope Church Rd, Raleigh, NC 27609",,Raleigh,NC
14,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-878-4659,,08/26/2014 12:00:00 AM,04/15/2015 12:00:00 AM,,,," Sunday 10:00 (AM)- 06:00 (PM), Monday 08:00 (AM)- 10:00 (PM), Tuesday 08:00 (AM)- 10:00 (PM), Wednesday 08:00 (AM)- 10:00 (PM), Thursday 08:00 (AM)- 10:00 (PM), Friday 08:00 (AM)- 10:00 (PM), Saturday 09:00 (AM)- 06:00 (PM)",,,35.840439,-78.612297,"4309 Wake Forest Rd, Raleigh, NC 27609-6276",,Raleigh,NC
15,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=7513, 919-231-2858,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,, Open 24 Hours,,,35.799252,-78.563232,"4309 New Bern Avenue, Raleigh, NC 27610",,Raleigh,NC
16,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-872-5233,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Sunday 10:00 (AM)- 06:00 (PM), Monday 08:00 (AM)- 10:00 (PM), Tuesday 08:00 (AM)- 10:00 (PM), Wednesday 08:00 (AM)- 10:00 (PM), Thursday 08:00 (AM)- 10:00 (PM), Friday 08:00 (AM)- 10:00 (PM), Saturday 09:00 (AM)- 06:00 (PM)",,,35.83503,-78.583458,"3911 Capital Blvd, Raleigh, NC 27604-3411",,Raleigh,NC
17,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-231-6419,,08/26/2014 12:00:00 AM,04/15/2015 12:00:00 AM,,,, Open 24 hours,,,35.797882,-78.562126,"4408 New Bern Ave, Raleigh, NC 27610-1444",,Raleigh,NC
18,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=4198, 919-876-5600,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,, Open 24 Hours,,,35.834351,-78.582138,"3914 Capital Boulevard, Raleigh, NC 27604",,Raleigh,NC
19,,Passport Health Raleigh,http://www.passporthealthusa.com/triangle, 919-781-0053,,09/02/2014 12:00:00 AM,04/01/2015 12:00:00 AM,,,, Call today to schedule an appointment,,,35.823074,-78.705849,"3100 Duraleigh Road, Suite 210 Raleigh Medical Center, Raleigh, NC 27612",,Raleigh,NC
20,,Passport Health Raleigh,http://www.passporthealthusa.com/triangle, 919-781-0053,,09/03/2014 12:00:00 AM,04/02/2015 12:00:00 AM,,,, Call today to schedule an appointment,,,35.82357,-78.705803,"3100 Duraleigh Road, Suite 210, Raleigh Medical Center, Raleigh, NC 27612",,Raleigh,NC
21,,Walmart  Supercenter #5292,http://www.walmart.com, 919-212-6169,,08/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM,,,," Monday- Friday: 09:00 - 21:00, Saturday: 09:00 - 19:00, Sunday: 10:00 - 18:00",,,35.800606,-78.559959,"4431 New Bern Ave, Raleigh, NC 27610",,Raleigh,NC
22,,Harris Teeter #69,, 919-781-2314,,04/13/2014 12:00:00 AM,12/31/2025 12:00:00 AM,,,, 9am-9pm-M-F 9am-7pm Sat 12-6pm Sun,,,35.825405,-78.705612,"3201-123 Edwards Mill Rd, Raleigh, NC 27612-5370",,Raleigh,NC
23,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=3589, 919-847-5458,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,, MON:08:00 AM - 10:00 PM; TUE:08:00 AM - 10:00 PM; WED:08:00 AM - 10:00 PM; THU:08:00 AM - 10:00 PM; FRI:08:00 AM - 10:00 PM; SAT:09:00 AM - 06:00 PM; SUN:10:00 AM - 06:00 PM,,,35.864479,-78.638016,"6131 Six Forks Road, Raleigh, NC 27609",,Raleigh,NC
24,,Concentra Urgent Care,http://www.concentra.comhttp://www.concentra.com, 919-790-0288,,01/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM,,,, 8:00 am - 5:00 pm (Mon. - Fri.),,,35.852364,-78.586845,"4909 Green Road., Raleigh, No 27616",,Raleigh,NC
25,,MinuteClinic Inside CVS/Pharmacy Store # 02313,http://www.cvs.com/minuteclinic/clinics/North-Carolina/Raleigh/2340-Spring-Forest-Road/2313/md, 866-389-2727,,08/22/2014 12:00:00 AM,03/15/2015 12:00:00 AM,,,," Mo:830a-730p, Tu:830a-730p, We:830a-730p, Th:830a-730p, Fr:830a-730p, Sa:9a-530p, Su:10a-530p",,,35.861084,-78.60141,"2340 Spring Forest Rd, Raleigh, NC 27615-7528",,Raleigh,NC
26,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=2313, 919-790-6401,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", MON:08:00 AM - 10:00 PM; TUE:08:00 AM - 10:00 PM; WED:08:00 AM - 10:00 PM; THU:08:00 AM - 10:00 PM; FRI:08:00 AM - 10:00 PM; SAT:09:00 AM - 06:00 PM; SUN:10:00 AM - 06:00 PM,,,35.861141,-78.601395,"2340 Spring Forest Road, Raleigh, NC 27609",,Raleigh,NC
27,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-785-2939,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Sunday 10:00 (AM)- 06:00 (PM), Monday 08:00 (AM)- 10:00 (PM), Tuesday 08:00 (AM)- 10:00 (PM), Wednesday 08:00 (AM)- 10:00 (PM), Thursday 08:00 (AM)- 10:00 (PM), Friday 08:00 (AM)- 10:00 (PM), Saturday 09:00 (AM)- 06:00 (PM)",,,35.859196,-78.681183,"2201 W Millbrook Rd, Raleigh, NC 27612-2297",,Raleigh,NC
28,,MinuteClinic Inside CVS/Pharmacy Store # 02356,http://www.cvs.com/minuteclinic/clinics/North-Carolina/Garner/790-Timber-Drive/2356/md, 866-389-2727,,08/22/2014 12:00:00 AM,03/15/2015 12:00:00 AM,,,," Mo:830a-730p, Tu:830a-730p, We:830a-730p, Th:830a-730p, Fr:830a-730p, Sa:9a-530p, Su:10a-530p",,,35.686642,-78.616501,"790 Timber Dr, Garner, NC 27529-4852",,Garner,NC
29,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=2356, 919-661-9992,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", MON:08:00 AM - 10:00 PM; TUE:08:00 AM - 10:00 PM; WED:08:00 AM - 10:00 PM; THU:08:00 AM - 10:00 PM; FRI:08:00 AM - 10:00 PM; SAT:08:00 AM - 06:00 PM; SUN:10:00 AM - 06:00 PM,,,35.686584,-78.616638,"790 Timber Drive, Garner, NC 27529",,Garner,NC
30,,Medicap Pharmacy,http://www.medicapraleigh.comhttp://www.medicapraleigh.com, 919-676-61619,,09/02/2014 12:00:00 AM,04/01/2015 12:00:00 AM,,,,,,,35.87439,-78.624535,"6675-101 Falls Of Neuse Rd , Raleigh, NC 27615",,Raleigh,NC
31,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-661-7344,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Sunday 10:00 (AM)- 06:00 (PM), Monday 08:00 (AM)- 10:00 (PM), Tuesday 08:00 (AM)- 10:00 (PM), Wednesday 08:00 (AM)- 10:00 (PM), Thursday 08:00 (AM)- 10:00 (PM), Friday 08:00 (AM)- 10:00 (PM), Saturday 09:00 (AM)- 06:00 (PM)",,,35.68549,-78.618698,"825 Timber Dr, Garner, NC 27529-4849",,Garner,NC
32,,Target- Cary,, 919-854-9436,,08/07/2014 12:00:00 AM,04/30/2015 12:00:00 AM,,,,,,,35.757576,-78.737846,"2021 Walnut St, Cary, NC 27518",,Cary,NC
33,,FastMed Urgent Care,http://www.fastmed.com/locations/fastmed-locations-by-state/north-carolina/raleigh-nc-creedmoor-rd, 919-825-4000,,07/01/2014 12:00:00 AM,10/31/2015 12:00:00 AM,,,,,,,35.874489,-78.678841,"6500 Creedmoor Road, Raleigh, NC 27607",,Raleigh,NC
34,,Wal-Mart  #1751,http://www.walmart.comhttp://www.walmart.com, 919-783-9693,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Monday- Friday: 09:00 - 21:00, Saturday: 09:00 - 19:00, Sunday: 10:00 - 18:00",,,35.862389,-78.706833,"6600 Glenwood Ave, Raleigh, NC 27612",,Raleigh,NC
35,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=317, 919-233-2929,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", MON:08:00 AM - 10:00 PM; TUE:08:00 AM - 10:00 PM; WED:08:00 AM - 10:00 PM; THU:08:00 AM - 10:00 PM; FRI:08:00 AM - 10:00 PM; SAT:08:00 AM - 06:00 PM; SUN:10:00 AM - 06:00 PM,,,35.745274,-78.74028,"5859 Tryon Road, Cary, NC 27511",,Cary,NC
36,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-851-6686,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Sunday 10:00 (AM)- 06:00 (PM), Monday 08:00 (AM)- 10:00 (PM), Tuesday 08:00 (AM)- 10:00 (PM), Wednesday 08:00 (AM)- 10:00 (PM), Thursday 08:00 (AM)- 10:00 (PM), Friday 08:00 (AM)- 10:00 (PM), Saturday 09:00 (AM)- 06:00 (PM)",,,35.746403,-78.742294,"8010 Tryon Woods Dr, Cary, NC 27518-7157",,Cary,NC
37,,Target- Garner,, 919-661-9598,,08/07/2014 12:00:00 AM,04/30/2015 12:00:00 AM,,,,,,,35.68708,-78.579552,"1040 Timber Dr E, Garner, NC 27529",,Garner,NC
38,,CVS/pharmacy,http://www.cvs.com/stores/store-detail-and-directions.jsp?storeId=2471, 919-781-8604,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", MON:08:00 AM - 10:00 PM; TUE:08:00 AM - 10:00 PM; WED:08:00 AM - 10:00 PM; THU:08:00 AM - 10:00 PM; FRI:08:00 AM - 10:00 PM; SAT:09:00 AM - 06:00 PM; SUN:10:00 AM - 06:00 PM,,,35.862438,-78.711555,"6840 Glenwood Avenue, Raleigh, NC 27612",,Raleigh,NC
39,,MinuteClinic Inside CVS/Pharmacy Store # 02471,http://www.cvs.com/minuteclinic/clinics/North-Carolina/Raleigh/6840-Glenwood-Avenue/2471/md, 866-389-2727,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Mo:830a-730p, Tu:830a-730p, We:830a-730p, Th:830a-730p, Fr:830a-730p, Sa:9a-530p, Su:10a-530p",,,35.862865,-78.711098,"6840 Glenwood Ave, Raleigh, NC 27612-7133",,Raleigh,NC
40,,Harris Teeter #330,, 919-233-4831,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", 9am-9pm-M-F 9am-7pm Sat 12-6pm Sun,,,35.746651,-78.744286,"1151 Tryon Village Dr, Cary, NC 27518",,Cary,NC
41,,Walgreens,https://www.walgreens.com/pharmacy/immunization/immunization_index.jsp, 919-420-7737,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday"," Sunday 08:00 (AM)- 10:00 (PM), Monday 08:00 (AM)- 10:00 (PM), Tuesday 08:00 (AM)- 10:00 (PM), Wednesday 08:00 (AM)- 10:00 (PM), Thursday 08:00 (AM)- 10:00 (PM), Friday 08:00 (AM)- 10:00 (PM), Saturday 08:00 (AM)- 10:00 (PM)",,,35.862331,-78.712929,"6901 Glenwood Ave, Raleigh, NC 27612-7142",,Raleigh,NC
42,,Target- Raleigh,, 919-790-9689,,08/07/2014 12:00:00 AM,04/30/2015 12:00:00 AM,,,,,,,35.866257,-78.56781,"7900 Old Wake Forest Rd, Raleigh, NC 27616",,Raleigh,NC
43,,Kroger Pharmacy,http://www.kroger.com/pharmacyhttp://www.kroger.com/pharmacy, 919-847-4178,,09/01/2014 12:00:00 AM,03/31/2015 12:00:00 AM,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday", Su 12:00 PM - 6:00 PM; M 8:00 AM - 9:00 PM; Tu 8:00 AM - 9:00 PM; W 8:00 AM - 9:00 PM; Th 8:00 AM - 9:00 PM; F 8:00 AM - 9:00 PM; Sa 9:00 AM - 6:00 PM,,,35.893398,-78.626846,"7905 Falls Of The Neuse Rd, Raleigh, NC 27615",,Raleigh,NC
